"Date","Price","Open","High","Low","Vol.","Change %"
"11/15/2021","203.62","204.03","204.31","202.47","5.31M","-0.08%"
"11/12/2021","203.79","203.17","204.05","201.86","5.17M","0.33%"
"11/11/2021","203.11","205.83","205.85","203.02","6.21M","-0.27%"
"11/10/2021","203.66","203.04","206.52","201.08","11.34M","-0.37%"
"11/09/2021","204.42","208.88","209.24","203.83","16.55M","-1.85%"
"11/08/2021","208.27","208.81","210.76","208.20","5.86M","-1.42%"
"11/05/2021","211.26","211.24","212.70","211.06","4.82M","0.64%"
"11/04/2021","209.91","208.12","210.71","207.88","5.80M","1.35%"
"11/03/2021","207.12","203.41","207.25","203.27","6.41M","1.80%"
"11/02/2021","203.46","202.93","204.68","202.45","6.78M","-0.67%"
"11/01/2021","204.84","202.71","204.86","201.47","5.62M","1.83%"
"10/29/2021","201.15","198.34","201.26","197.79","4.25M","0.26%"
"10/28/2021","200.63","199.67","201.22","199.13","4.50M","1.33%"
"10/27/2021","198.00","198.60","199.87","197.95","4.92M","0.22%"
"10/26/2021","197.56","198.32","201.61","196.79","7.52M","0.02%"
"10/25/2021","197.53","194.51","198.35","193.65","5.54M","2.48%"
"10/22/2021","192.75","193.32","193.81","191.90","3.69M","-0.36%"
"10/21/2021","193.44","190.31","193.54","190.31","3.57M","1.47%"
"10/20/2021","190.64","190.83","191.48","190.31","4.80M","-0.07%"
"10/19/2021","190.78","191.70","191.72","190.58","2.90M","-0.28%"
"10/18/2021","191.32","188.63","191.44","188.61","3.93M","1.22%"
"10/15/2021","189.01","187.32","189.09","187.04","4.36M","1.53%"
"10/14/2021","186.16","185.33","186.46","185.13","3.76M","1.05%"
"10/13/2021","184.23","183.89","184.73","182.78","5.42M","0.49%"
"10/12/2021","183.33","182.92","184.05","182.55","5.14M","0.79%"
"10/11/2021","181.89","182.58","183.97","181.88","3.32M","-0.41%"
"10/08/2021","182.63","183.54","183.71","182.46","3.70M","-0.46%"
"10/07/2021","183.47","182.03","184.16","182.03","3.77M","1.56%"
"10/06/2021","180.66","178.86","180.87","178.26","5.14M","0.32%"
"10/05/2021","180.09","179.99","181.75","179.57","5.48M","0.40%"
"10/04/2021","179.37","181.30","181.88","178.77","9.25M","-0.79%"
"10/01/2021","180.80","180.36","181.65","178.50","7.76M","0.75%"
"09/30/2021","179.45","182.60","182.61","179.45","8.25M","-1.67%"
"09/29/2021","182.49","183.00","184.32","182.06","6.10M","0.10%"
"09/28/2021","182.31","184.74","185.04","181.34","7.47M","-1.93%"
"09/27/2021","185.89","184.22","186.38","184.16","4.74M","0.54%"
"09/24/2021","184.90","183.03","185.06","182.81","4.02M","0.37%"
"09/23/2021","184.21","183.19","184.99","183.19","4.14M","1.01%"
"09/22/2021","182.36","180.97","183.17","180.64","6.18M","1.36%"
"09/21/2021","179.91","180.71","181.37","179.34","6.25M","0.15%"
"09/20/2021","179.64","180.32","181.28","177.40","8.10M","-2.43%"
"09/17/2021","184.11","184.54","185.60","183.69","7.46M","-0.35%"
"09/16/2021","184.76","183.66","185.21","183.23","6.09M","0.46%"
"09/15/2021","183.92","182.41","184.21","180.99","5.15M","0.65%"
"09/14/2021","182.74","183.72","183.93","181.99","4.23M","-0.33%"
"09/13/2021","183.35","183.86","183.86","181.58","5.77M","0.25%"
"09/10/2021","182.90","185.01","185.18","182.82","4.81M","-0.61%"
"09/09/2021","184.03","184.45","185.53","183.96","4.36M","-0.13%"
"09/08/2021","184.27","184.04","184.69","182.78","3.69M","0.11%"
"09/07/2021","184.06","183.59","184.50","183.59","4.38M","0.29%"
"09/03/2021","183.52","183.15","183.57","182.36","3.44M","-0.06%"
"09/02/2021","183.63","184.18","184.68","183.36","3.36M","-0.01%"
"09/01/2021","183.64","184.20","184.61","183.51","4.10M","-0.01%"
"08/31/2021","183.65","183.34","183.73","182.63","4.78M","0.24%"
"08/30/2021","183.21","182.39","183.82","182.26","3.68M","0.75%"
"08/27/2021","181.84","180.60","182.15","180.30","3.98M","0.91%"
"08/26/2021","180.20","181.27","181.32","179.83","3.70M","-0.92%"
"08/25/2021","181.88","181.45","182.11","180.84","3.63M","0.39%"
"08/24/2021","181.18","180.67","181.70","180.35","2.90M","0.71%"
"08/23/2021","179.91","178.57","180.32","178.41","3.45M","1.29%"
"08/20/2021","177.62","176.21","177.82","176.05","3.31M","0.96%"
"08/19/2021","175.93","175.71","177.18","174.87","5.67M","-0.64%"
"08/18/2021","177.06","176.36","178.88","176.21","5.00M","0.36%"
"08/17/2021","176.43","178.40","178.40","174.99","5.53M","-2.37%"
"08/16/2021","180.72","180.53","180.85","178.85","3.33M","-0.46%"
"08/13/2021","181.56","182.20","182.30","181.19","2.47M","-0.29%"
"08/12/2021","182.08","181.82","182.16","180.62","2.62M","0.04%"
"08/11/2021","182.00","181.87","182.26","181.20","2.75M","0.29%"
"08/10/2021","181.47","180.92","182.15","180.60","2.60M","0.39%"
"08/09/2021","180.76","181.00","181.15","180.33","2.78M","-0.14%"
"08/08/2021","181.01","181.01","181.01","181.01","","0.00%"
"08/07/2021","181.01","181.01","181.01","181.01","","0.00%"
"08/06/2021","181.01","182.30","182.61","180.83","2.91M","-0.68%"
"08/05/2021","182.25","180.97","182.38","180.97","2.70M","0.96%"
"08/04/2021","180.52","181.81","182.18","180.52","3.96M","-0.97%"
"08/03/2021","182.29","181.66","182.33","180.10","4.22M","0.74%"
"08/02/2021","180.95","181.75","182.37","180.76","3.65M","0.29%"
"07/30/2021","180.43","180.43","182.10","180.09","4.66M","-2.06%"
"07/29/2021","184.22","183.01","184.69","182.98","3.65M","1.13%"
"07/28/2021","182.17","182.54","183.17","181.36","2.99M","-0.32%"
"07/27/2021","182.76","184.23","184.23","180.81","3.68M","-1.01%"
"07/26/2021","184.63","183.35","184.65","182.92","3.45M","0.74%"
"07/23/2021","183.27","182.27","183.57","181.84","3.50M","0.89%"
"07/22/2021","181.65","180.72","181.86","179.81","4.03M","0.43%"
"07/21/2021","180.87","179.88","180.97","179.83","4.09M","0.92%"
"07/20/2021","179.22","176.49","179.69","175.62","4.92M","1.85%"
"07/19/2021","175.97","175.14","176.01","173.77","8.04M","-1.15%"
"07/16/2021","178.01","180.85","180.97","177.88","4.21M","-1.23%"
"07/15/2021","180.23","180.71","181.71","178.97","3.33M","-0.54%"
"07/14/2021","181.21","182.57","182.75","181.11","3.74M","-0.18%"
"07/13/2021","181.54","183.43","183.67","181.39","6.20M","-1.20%"
"07/12/2021","183.74","182.64","183.77","182.61","5.41M","0.68%"
"07/09/2021","182.49","181.55","182.60","181.38","2.82M","0.93%"
"07/08/2021","180.80","178.29","181.39","177.69","5.64M","-0.25%"
"07/07/2021","181.25","181.96","182.27","179.98","3.35M","-0.06%"
"07/06/2021","181.35","181.37","181.86","179.72","3.90M","0.12%"
"07/05/2021","181.14","181.14","181.14","181.14","","0.00%"
"07/04/2021","181.14","181.14","181.14","181.14","","0.00%"
"07/03/2021","181.14","181.14","181.14","181.14","","0.00%"
"07/02/2021","181.14","180.00","181.17","179.83","2.90M","0.88%"
"07/01/2021","179.56","178.99","179.60","178.86","3.11M","0.57%"
"06/30/2021","178.55","178.47","179.35","178.29","2.90M","0.08%"
"06/29/2021","178.41","178.08","178.78","177.89","2.31M","0.25%"
"06/28/2021","177.97","177.87","178.13","177.03","2.79M","0.02%"
"06/25/2021","177.93","178.65","178.75","177.55","4.97M","0.63%"
"06/24/2021","176.81","177.54","177.94","176.47","3.98M","0.34%"
"06/23/2021","176.21","175.31","176.55","175.26","2.66M","0.77%"
"06/22/2021","174.86","173.46","175.55","173.26","3.37M","0.94%"
"06/21/2021","173.23","172.46","173.67","171.99","4.80M","0.62%"
"06/18/2021","172.16","171.70","172.83","171.39","7.00M","-0.53%"
"06/17/2021","173.07","172.00","173.69","171.60","4.63M","0.38%"
"06/16/2021","172.42","172.49","172.83","170.93","4.71M","0.05%"
"06/15/2021","172.34","173.28","173.28","171.74","2.83M","-0.53%"
"06/14/2021","173.26","173.22","173.59","172.25","2.89M","0.03%"
"06/11/2021","173.21","172.56","173.23","172.28","2.73M","0.55%"
"06/10/2021","172.27","171.77","172.58","171.25","2.61M","0.47%"
"06/09/2021","171.46","172.89","173.00","171.39","3.57M","-0.55%"
"06/08/2021","172.41","172.17","172.96","171.24","3.06M","0.81%"
"06/07/2021","171.03","170.90","171.13","169.73","3.19M","0.00%"
"06/04/2021","171.03","170.61","171.18","170.13","3.22M","0.80%"
"06/03/2021","169.67","170.61","171.07","169.38","4.35M","-1.19%"
"06/02/2021","171.71","172.67","172.69","171.07","3.53M","-0.46%"
"06/01/2021","172.51","173.87","173.99","172.20","4.68M","-0.19%"
"05/28/2021","172.84","173.80","173.80","172.43","3.23M","-0.14%"
"05/27/2021","173.08","173.03","173.47","172.50","3.89M","0.40%"
"05/26/2021","172.39","171.57","173.12","171.40","3.74M","0.95%"
"05/25/2021","170.76","170.99","171.54","169.69","3.57M","0.32%"
