"Date","Price","Open","High","Low","Vol.","Change %"
"08/07/2021","132.94","132.94","132.94","132.94","","0.00%"
"08/06/2021","132.94","133.11","133.11","132.09","6.92M","-0.08%"
"08/05/2021","133.05","133.35","133.35","132.05","8.24M","-0.41%"
"08/04/2021","133.60","133.65","134.47","133.45","8.32M","-0.42%"
"08/03/2021","134.17","132.45","134.21","132.33","7.70M","1.39%"
"08/02/2021","132.33","132.62","132.84","131.97","8.37M","0.14%"
"07/30/2021","132.15","131.81","132.63","131.63","6.63M","0.09%"
"07/29/2021","132.03","132.13","132.23","131.64","5.66M","0.24%"
"07/28/2021","131.71","131.05","132.08","130.72","7.43M","0.36%"
"07/27/2021","131.24","130.40","131.24","130.13","9.55M","0.47%"
"07/26/2021","130.63","131.07","131.48","130.20","6.63M","-0.65%"
"07/23/2021","131.48","130.53","131.61","130.37","8.30M","1.15%"
"07/22/2021","129.98","129.14","129.98","128.79","9.26M","0.74%"
"07/21/2021","129.03","129.34","129.38","127.64","8.30M","0.16%"
"07/20/2021","128.82","127.68","129.55","127.68","15.05M","1.22%"
"07/19/2021","127.27","127.78","128.39","126.23","19.46M","-1.05%"
"07/16/2021","128.62","128.49","129.08","128.18","6.51M","0.27%"
"07/15/2021","128.27","128.06","128.58","127.48","8.75M","-0.35%"
"07/14/2021","128.72","129.16","129.18","128.49","7.49M","-0.09%"
"07/13/2021","128.84","128.83","129.25","128.53","9.70M","-0.09%"
"07/12/2021","128.96","128.71","129.60","128.69","9.10M","0.19%"
"07/09/2021","128.71","128.73","129.10","128.42","5.22M","0.34%"
"07/08/2021","128.27","127.84","128.30","127.12","8.39M","-0.55%"
"07/07/2021","128.98","128.17","128.98","127.71","18.44M","0.63%"
"07/06/2021","128.17","128.29","128.29","127.27","11.41M","-0.09%"
"07/05/2021","128.29","128.29","128.29","128.29","","0.00%"
"07/04/2021","128.29","128.29","128.29","128.29","","0.00%"
"07/03/2021","128.29","128.29","128.29","128.29","","0.00%"
"07/02/2021","128.29","127.23","128.41","127.00","12.33M","0.96%"
"07/01/2021","127.07","126.04","127.13","126.00","12.02M","0.89%"
"06/30/2021","125.95","125.94","126.20","125.49","8.54M","-0.06%"
"06/29/2021","126.03","125.90","126.42","125.74","6.17M","0.11%"
"06/28/2021","125.89","125.91","126.04","125.41","4.63M","0.15%"
"06/25/2021","125.70","125.08","126.08","125.01","8.34M","0.46%"
"06/24/2021","125.13","125.22","126.00","125.00","7.03M","0.51%"
"06/23/2021","124.49","124.85","124.97","124.45","6.51M","-0.42%"
"06/22/2021","125.01","124.82","125.17","124.41","7.19M","0.22%"
"06/21/2021","124.74","123.65","124.96","123.20","6.66M","0.81%"
"06/18/2021","123.74","124.18","124.40","123.61","11.15M","-1.14%"
"06/17/2021","125.17","124.00","125.50","123.98","6.53M","0.76%"
"06/16/2021","124.22","124.83","125.46","123.87","11.65M","-0.38%"
