"Date","Price","Open","High","Low","Vol.","Change %"
"09/23/2021","65.21","65.60","66.03","65.15","9.67M","-0.53%"
"09/22/2021","65.56","65.84","66.09","65.31","12.39M","-0.06%"
"09/21/2021","65.60","65.97","66.42","65.56","13.21M","-0.27%"
"09/20/2021","65.78","65.68","66.35","65.07","22.84M","-0.93%"
"09/17/2021","66.40","67.30","67.66","66.34","12.55M","-1.54%"
"09/16/2021","67.44","68.00","68.28","67.35","15.73M","-0.84%"
"09/15/2021","68.01","67.94","68.45","67.63","9.91M","-0.13%"
"09/14/2021","68.10","68.51","68.76","67.94","14.05M","-0.34%"
"09/13/2021","68.33","69.00","69.11","68.13","13.12M","-0.18%"
"09/10/2021","68.45","69.37","69.45","68.43","12.33M","-1.40%"
"09/09/2021","69.42","69.56","69.82","69.37","8.18M","-0.54%"
"09/08/2021","69.80","68.56","69.99","68.39","14.59M","1.79%"
"09/07/2021","68.57","69.38","69.38","68.46","13.15M","-1.32%"
"09/03/2021","69.49","69.86","69.96","69.32","9.47M","-0.83%"
"09/02/2021","70.07","69.55","70.07","69.52","10.30M","0.91%"
"09/01/2021","69.44","68.73","69.67","68.65","13.33M","1.31%"
"08/31/2021","68.54","68.62","68.92","68.26","11.29M","-0.12%"
"08/30/2021","68.62","68.43","68.81","68.28","11.85M","0.15%"
"08/27/2021","68.52","68.61","68.83","68.39","10.50M","-0.03%"
"08/26/2021","68.54","68.67","68.73","68.39","8.32M","-0.25%"
"08/25/2021","68.71","68.51","68.93","68.19","8.16M","0.19%"
"08/24/2021","68.58","69.03","69.03","68.13","12.67M","-0.65%"
"08/23/2021","69.03","69.80","69.90","68.91","10.92M","-1.29%"
"08/20/2021","69.93","68.95","69.98","68.59","11.79M","1.25%"
"08/19/2021","69.07","68.75","69.62","68.75","13.86M","0.41%"
"08/18/2021","68.79","69.09","69.27","68.56","15.71M","-0.51%"
"08/17/2021","69.14","68.89","69.15","68.46","11.52M","0.06%"
"08/16/2021","69.10","68.70","69.59","68.61","12.90M","0.61%"
"08/13/2021","68.68","68.34","68.76","68.20","11.79M","0.70%"
"08/12/2021","68.20","68.02","68.43","67.99","9.46M","0.10%"
"08/11/2021","68.13","67.65","68.44","67.65","9.24M","0.93%"
"08/10/2021","67.50","67.44","67.73","67.20","7.92M","0.10%"
"08/09/2021","67.43","67.57","67.67","67.06","8.43M","-0.03%"
"08/08/2021","67.45","67.45","67.45","67.45","","0.00%"
"08/07/2021","67.45","67.45","67.45","67.45","","0.00%"
"08/06/2021","67.45","67.43","67.94","67.26","10.00M","-0.06%"
"08/05/2021","67.49","66.86","67.58","66.68","15.90M","1.09%"
"08/04/2021","66.76","66.56","66.83","65.93","16.19M","-0.15%"
"08/03/2021","66.86","66.58","67.17","66.28","13.00M","0.57%"
"08/02/2021","66.48","66.16","66.71","66.05","11.78M","0.77%"
"07/30/2021","65.97","66.49","67.04","65.82","12.63M","-0.84%"
"07/29/2021","66.53","66.48","66.71","66.15","15.12M","0.27%"
"07/28/2021","66.35","66.82","66.95","65.86","12.47M","-0.76%"
"07/27/2021","66.86","65.65","66.97","65.30","17.14M","1.72%"
"07/26/2021","65.73","65.60","65.93","65.27","8.97M","0.03%"
"07/23/2021","65.71","65.04","65.77","64.92","8.11M","1.28%"
"07/22/2021","64.88","64.85","65.17","64.67","11.44M","0.15%"
"07/21/2021","64.78","65.54","65.69","64.73","11.23M","-1.10%"
"07/20/2021","65.50","65.28","66.16","65.28","16.89M","0.43%"
"07/19/2021","65.22","66.00","66.53","64.48","22.79M","-1.58%"
"07/16/2021","66.27","65.68","66.61","65.61","16.55M","1.01%"
"07/15/2021","65.61","64.69","65.66","64.68","14.29M","1.13%"
"07/14/2021","64.88","64.40","65.15","64.04","10.36M","0.87%"
"07/13/2021","64.32","64.71","64.90","64.10","11.25M","-0.76%"
"07/12/2021","64.81","64.48","64.86","64.22","8.66M","0.33%"
"07/09/2021","64.60","64.61","64.78","64.07","10.74M","0.12%"
"07/08/2021","64.52","64.32","64.91","64.28","10.26M","-0.29%"
"07/07/2021","64.71","64.29","64.72","63.97","12.10M","0.65%"
"07/06/2021","64.29","64.00","64.32","63.29","9.08M","0.42%"
"07/05/2021","64.02","64.02","64.02","64.02","","0.00%"
"07/04/2021","64.02","64.02","64.02","64.02","","0.00%"
"07/03/2021","64.02","64.02","64.02","64.02","","0.00%"
"07/02/2021","64.02","64.09","64.09","63.69","9.31M","0.16%"
"07/01/2021","63.92","63.37","64.14","63.10","11.50M","1.09%"
"06/30/2021","63.23","63.36","63.54","62.99","9.54M","-0.19%"
"06/29/2021","63.35","64.19","64.57","63.16","12.34M","-1.62%"
"06/28/2021","64.39","64.20","64.71","64.16","8.37M","0.64%"
"06/25/2021","63.98","63.33","64.03","63.26","9.14M","1.07%"
"06/24/2021","63.30","63.45","63.45","63.03","7.61M","-0.09%"
"06/23/2021","63.36","63.97","63.97","63.17","12.83M","-1.06%"
"06/22/2021","64.04","64.33","64.61","64.01","8.30M","-0.61%"
"06/21/2021","64.43","63.81","64.59","63.45","13.94M","0.51%"
"06/18/2021","64.10","65.43","65.48","64.00","18.04M","-2.60%"
"06/17/2021","65.81","65.40","66.17","65.21","12.85M","0.55%"
"06/16/2021","65.45","66.62","66.86","65.42","23.14M","-1.50%"
"06/15/2021","66.45","66.33","66.81","66.14","16.39M","0.30%"
"06/14/2021","66.25","66.12","66.42","65.85","6.87M","0.21%"
"06/11/2021","66.11","65.96","66.16","65.65","9.10M","0.23%"
"06/10/2021","65.96","65.58","66.03","65.42","8.33M","0.66%"
"06/09/2021","65.53","65.11","65.65","64.97","9.38M","0.89%"
"06/08/2021","64.95","65.65","65.70","64.67","9.18M","-0.85%"
"06/07/2021","65.51","65.45","65.61","65.34","6.91M","0.18%"
"06/04/2021","65.39","65.66","65.76","65.31","7.23M","-0.15%"
"06/03/2021","65.49","64.80","65.70","64.58","11.85M","0.60%"
