"Date","Price","Open","High","Low","Vol.","Change %"
"07/06/2021","81.94","82.28","82.39","81.19","3.83M","-0.24%"
"07/05/2021","82.14","82.14","82.14","82.14","","0.00%"
"07/04/2021","82.14","82.14","82.14","82.14","","0.00%"
"07/03/2021","82.14","82.14","82.14","82.14","","0.00%"
"07/02/2021","82.14","81.87","82.25","81.74","4.35M","0.70%"
"07/01/2021","81.57","80.87","81.68","80.85","5.23M","0.74%"
"06/30/2021","80.97","81.05","81.19","80.68","2.53M","-0.18%"
"06/29/2021","81.12","81.57","81.65","80.89","4.27M","-0.54%"
"06/28/2021","81.56","80.84","81.66","80.59","3.55M","1.13%"
"06/25/2021","80.65","80.53","80.74","80.38","5.84M","0.12%"
"06/24/2021","80.55","80.18","80.59","80.13","3.43M","0.94%"
"06/23/2021","79.80","79.81","80.22","79.74","4.67M","-0.10%"
"06/22/2021","79.88","79.28","79.99","79.05","4.69M","0.86%"
"06/21/2021","79.20","78.62","79.26","78.28","3.27M","0.79%"
"06/18/2021","78.58","79.16","79.24","78.46","6.19M","-1.17%"
"06/17/2021","79.51","79.07","79.97","79.04","4.56M","0.42%"
"06/16/2021","79.18","80.04","80.04","78.51","4.69M","-0.88%"
"06/15/2021","79.88","80.41","80.55","79.74","3.09M","-0.57%"
"06/14/2021","80.34","79.87","80.36","79.64","2.73M","0.66%"
"06/11/2021","79.81","79.84","79.86","79.44","3.73M","0.11%"
"06/10/2021","79.72","79.37","79.85","79.08","2.47M","0.54%"
"06/09/2021","79.29","79.73","79.86","79.25","5.17M","-0.10%"
"06/08/2021","79.37","79.82","79.82","78.98","3.33M","-0.29%"
"06/07/2021","79.60","79.06","79.64","78.98","3.32M","0.52%"
"06/04/2021","79.19","78.39","79.30","78.27","2.33M","1.43%"
"06/03/2021","78.07","78.05","78.29","77.59","2.81M","-0.67%"
"06/02/2021","78.60","78.99","79.10","78.21","2.78M","-0.30%"
"06/01/2021","78.84","79.08","79.22","78.46","3.30M","0.06%"
"05/28/2021","78.79","79.27","79.30","78.71","2.83M","-0.33%"
"05/27/2021","79.05","78.85","79.24","78.71","4.46M","0.38%"
"05/26/2021","78.75","78.47","79.08","78.31","4.64M","0.65%"
